Informações, "epochs = 15, batch_size = 64, class_names = ['cat', 'dog'] para função de teste, função teste_dataset  para teste"
Epochs,1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
Accuracy, 0.6259647011756897, 0.7278339862823486, 0.7739667296409607, 0.8309037685394287, 0.8830960988998413, 0.9266563653945923, 0.9590121507644653, 0.9761618971824646, 0.9857085943222046, 0.98976731300354, 0.9919968247413635, 0.98976731300354, 0.9928542971611023, 0.996055543422699, 0.9966843724250793
Validation Accurary, 0.6899585127830505, 0.7062240839004517, 0.7595020532608032, 0.7850622534751892, 0.7825726270675659, 0.7674688696861267, 0.7769294381141663, 0.777759313583374, 0.7736099362373352, 0.763983428478241, 0.7704564332962036, 0.7661410570144653, 0.7631535530090332, 0.7604979276657104, 0.7656431794166565
loss, 0.6737523674964905, 0.5349242091178894, 0.46786653995513916, 0.3699392080307007, 0.2727532386779785, 0.17986521124839783, 0.11044059693813324, 0.06751443445682526, 0.04658249020576477, 0.03328945115208626, 0.02789582684636116, 0.02998407743871212, 0.022885417565703392, 0.013104983605444431, 0.013600279577076435
Validation Loss, 0.5879948735237122, 0.6645525097846985, 0.4938274025917053, 0.4718087613582611, 0.545964241027832, 0.6841021180152893, 0.7842996120452881, 0.9442951083183289, 1.0479975938796997, 1.1149365901947021, 1.2498838901519775, 1.2463425397872925, 1.3019700050354004, 1.5413981676101685, 1.4308677911758423
