Informações, csv do scrip original
Epochs,1, 2, 4, 5, 6, 7, 8, 9, 10
Accuracy, 0.5924084186553955, 0.6951923370361328, 0.7748813629150391, 0.8395929932594299, 0.9100783467292786, 0.9633567929267883, 0.9821643233299255, 0.9891384840011597, 0.9928542971611023, 0.9938832521438599
Validation Accurary,  0.6571962237358093, 0.7313591837882996, 0.736027717590332, 0.7338935732841492, 0.7102841138839722, 0.7338935732841492, 0.7452314496040344, 0.7333599925041199, 0.7384287118911743, 0.7353608012199402
loss, 0.6746641993522644, 0.5763844847679138, 0.46924981474876404, 0.3557896316051483, 0.2143584042787552, 0.1056337058544159, 0.05538145825266838, 0.037056829780340195, 0.028249263763427734, 0.021684277802705765
Validation Loss, 0.625572681427002, 0.546798586845398, 0.5657394528388977, 0.653820276260376, 0.9218710660934448, 0.976709246635437, 1.1697514057159424, 1.4239859580993652, 1.3962593078613281, 1.6213728189468384
