Informações, epochs = 10, batch_size = 64, class_names = ['cat', 'dog'] para função de teste, função teste_dataset para teste
Epochs,1, 2, 4, 5, 6, 7, 8, 9, 10
Accuracy, 0.60887211561203, 0.7003944516181946, 0.7609329223632812, 0.8144400715827942, 0.8769793510437012, 0.9241411089897156, 0.9607843160629272, 0.9806779623031616, 0.9902818202972412, 0.9927399754524231
Validation Accurary, 0.6894605755805969, 0.7004149556159973, 0.7244813442230225, 0.7646473050117493, 0.7515352964401245, 0.7578423023223877, 0.7570124268531799, 0.7633194923400879, 0.7704564332962036, 0.7653111815452576
loss, 0.6821768879890442, 0.5719418525695801, 0.4887152910232544, 0.39726391434669495, 0.2885218560695648, 0.1843821406364441, 0.10680203884840012, 0.05759430304169655, 0.03270922973752022, 0.02486790157854557
Validation Loss, 0.5936079025268555, 0.5665112733840942, 0.5774175524711609, 0.5359972715377808, 0.7513390779495239, 0.8460724353790283, 0.8896021842956543, 1.0481663942337036, 1.1319812536239624, 1.1872904300689697
